Run,Average Numerology,Error Level,Major Element,Positivity Score,Correct Guess,Adjusted Guess
134,9.2,1.8399999999999999,Fire,-1.0,0.4,0.7333333333333334
135,7.8,1.56,Air,0.6,0.4,0.76
136,7.8,1.56,Fire,0.8,0.4,0.7333333333333334
137,7.6,1.52,Water,0.8,0.0,-0.29333333333333333
138,5.2,1.04,Air,0.6,0.2,0.28
139,4.6,0.9199999999999999,Air,1.0,0.4,0.7066666666666667
140,8.6,1.72,Air,0.6,0.4,0.8
141,6.6,1.3199999999999998,Air,0.6,0.2,0.28
142,12.0,2.4,Water,1.0,0.4,0.7466666666666667
143,7.8,1.56,Earth,0.8,0.4,0.7066666666666668
144,9.8,1.9600000000000002,Air,0.4,0.2,0.2666666666666667
145,7.4,1.48,Earth,0.8,0.4,0.76
146,9.4,1.8800000000000001,Fire,1.0,0.4,0.7466666666666667
147,9.2,1.8399999999999999,Fire,0.8,0.2,0.26666666666666666
148,11.8,2.3600000000000003,Fire,1.0,0.4,0.76
149,8.6,1.72,Water,0.8,0.2,0.2666666666666667
150,8.8,1.7600000000000002,Earth,1.0,0.6,1.2666666666666666
151,8.8,1.7600000000000002,Air,0.6,0.0,-0.21333333333333332
152,10.2,2.04,Water,-1.0,0.4,0.7200000000000001
153,5.6,1.1199999999999999,Fire,0.2,0.0,-0.24
154,6.2,1.24,Water,0.2,0.4,0.7333333333333334
155,10.0,2.0,Fire,1.0,0.0,-0.26666666666666666
156,8.4,1.6800000000000002,Fire,0.6,0.2,0.24000000000000005
157,6.2,1.24,Fire,0.6,0.2,0.2799999999999999
158,7.4,1.48,Fire,1.0,0.4,0.76
159,10.8,2.16,Earth,0.6,0.0,-0.27999999999999997
160,7.6,1.52,Earth,0.6,0.0,-0.2533333333333333
161,5.0,1.0,Air,0.6,0.4,0.7466666666666667
162,10.4,2.08,Water,0.6,0.4,0.72
163,10.0,2.0,Fire,0.6,0.2,0.2533333333333333
164,9.0,1.8,Earth,0.8,0.4,0.72
165,9.0,1.8,Earth,0.4,0.6,1.2133333333333334
166,2.8,0.5599999999999999,Water,0.6,0.4,0.7466666666666666
167,10.8,2.16,Earth,0.6,0.2,0.21333333333333337
168,8.4,1.6800000000000002,Fire,0.6,0.4,0.7866666666666665
169,5.4,1.08,Air,0.2,0.4,0.7733333333333332
170,4.6,0.9199999999999999,Earth,1.0,0.0,-0.21333333333333332
171,9.8,1.9600000000000002,Air,-1.0,0.2,0.2266666666666667
172,7.8,1.56,Earth,0.6,0.0,-0.27999999999999997
173,9.0,1.8,Fire,1.0,0.0,-0.29333333333333333
174,11.2,2.2399999999999998,Fire,1.0,0.2,0.2266666666666667
175,9.0,1.8,Water,0.6,0.6,1.24
176,4.0,0.8,Air,0.6,0.6,1.2266666666666668
177,12.4,2.48,Air,0.8,0.4,0.76
178,8.2,1.64,Air,0.8,0.2,0.2533333333333333
179,5.2,1.04,Air,0.4,0.0,-0.27999999999999997
180,8.6,1.72,Water,1.0,0.2,0.25333333333333335
181,6.8,1.3599999999999999,Air,0.2,0.2,0.2533333333333333
182,8.0,1.6,Air,0.6,0.0,-0.22666666666666666
183,6.2,1.24,Water,0.2,0.4,0.76
184,7.6,1.52,Fire,0.8,0.6,1.24
185,10.8,2.16,Fire,1.0,0.0,-0.24
186,8.8,1.7600000000000002,Water,0.2,0.4,0.7200000000000001
187,12.2,2.44,Air,1.0,0.2,0.29333333333333333
188,4.2,0.8400000000000001,Water,0.6,0.8,1.7466666666666668
189,8.4,1.6800000000000002,Air,1.0,0.2,0.21333333333333343
190,8.6,1.72,Air,0.6,0.0,-0.2533333333333333
191,7.4,1.48,Fire,-0.2,0.0,-0.2533333333333333
192,7.6,1.52,Fire,0.2,0.6,1.2933333333333332
193,9.6,1.92,Earth,0.6,0.4,0.7466666666666666
194,6.8,1.3599999999999999,Air,0.2,0.2,0.2666666666666667
195,7.6,1.52,Earth,0.0,0.0,-0.2533333333333333
196,9.6,1.92,Fire,0.6,0.2,0.24
197,11.2,2.2399999999999998,Fire,0.8,0.2,0.22666666666666666
198,13.0,2.6,Fire,0.6,0.2,0.24000000000000005
199,5.8,1.16,Water,0.2,0.8,1.7466666666666668
200,5.8,1.16,Earth,1.0,0.2,0.22666666666666674
201,5.6,1.1199999999999999,Air,0.2,0.2,0.24
202,11.2,2.2399999999999998,Fire,0.6,0.2,0.25333333333333335
203,5.8,1.16,Water,0.6,0.0,-0.24
204,12.2,2.44,Fire,0.4,0.4,0.76
205,6.8,1.3599999999999999,Fire,1.0,0.0,-0.2533333333333333
206,10.8,2.16,Fire,-1.0,0.2,0.2666666666666667
207,7.0,1.4,Fire,1.0,0.2,0.25333333333333335
208,6.6,1.3199999999999998,Water,1.0,0.0,-0.26666666666666666
209,8.6,1.72,Earth,0.6,0.2,0.30666666666666664
210,11.0,2.2,Fire,0.8,0.4,0.7200000000000001
211,12.8,2.56,Air,0.6,0.2,0.2266666666666667
212,3.2,0.64,Fire,0.2,0.2,0.22666666666666666
213,11.8,2.3600000000000003,Water,0.6,0.2,0.21333333333333343
214,5.2,1.04,Air,0.0,0.4,0.76
215,8.2,1.64,Fire,1.0,0.4,0.76
216,6.6,1.3199999999999998,Air,-0.2,0.4,0.7599999999999999
217,10.0,2.0,Earth,0.6,0.0,-0.18666666666666668
218,8.0,1.6,Earth,1.0,0.2,0.2666666666666666
219,11.0,2.2,Water,0.6,0.2,0.2533333333333334
220,8.8,1.7600000000000002,Earth,1.0,0.2,0.28
221,5.6,1.1199999999999999,Earth,1.0,0.2,0.2666666666666666
222,9.6,1.92,Water,1.0,0.0,-0.27999999999999997
223,6.4,1.28,Air,0.4,0.6,1.2399999999999998
224,6.2,1.24,Air,0.6,0.2,0.29333333333333333
225,8.0,1.6,Fire,1.0,0.0,-0.26666666666666666
226,5.8,1.16,Fire,0.6,0.4,0.7733333333333332
227,6.2,1.24,Fire,0.2,0.2,0.24000000000000005
228,10.2,2.04,Earth,0.8,0.0,-0.24
229,11.4,2.2800000000000002,Fire,0.6,0.8,1.7466666666666668
230,6.0,1.2,Water,-0.2,0.4,0.7866666666666665
231,8.2,1.64,Water,0.6,0.2,0.25333333333333335
232,5.8,1.16,Fire,1.0,0.2,0.2666666666666667
233,7.8,1.56,Earth,0.8,0.4,0.7066666666666667
234,11.2,2.2399999999999998,Earth,0.4,0.6,1.24
235,7.8,1.56,Water,0.6,0.4,0.7733333333333332
236,9.0,1.8,Air,0.6,0.6,1.2666666666666666
237,5.2,1.04,Earth,0.6,0.2,0.24000000000000005
238,6.8,1.3599999999999999,Earth,0.4,0.4,0.7733333333333332
239,7.4,1.48,Fire,0.2,0.2,0.2666666666666667
240,5.4,1.08,Fire,1.0,0.2,0.2533333333333333
241,4.2,0.8400000000000001,Air,0.0,0.2,0.20000000000000004
242,10.4,2.08,Air,0.6,0.0,-0.29333333333333333
243,9.0,1.8,Fire,1.0,0.0,-0.2533333333333333
244,8.8,1.7600000000000002,Fire,0.2,0.0,-0.27999999999999997
245,8.6,1.72,Fire,0.2,0.4,0.6933333333333334
246,7.0,1.4,Fire,-0.4,0.4,0.7466666666666667
247,5.2,1.04,Air,0.6,0.0,-0.2533333333333333
248,6.0,1.2,Water,1.0,0.2,0.2666666666666667
249,10.2,2.04,Air,1.0,0.0,-0.2533333333333333
250,7.0,1.4,Fire,1.0,0.0,-0.26666666666666666
251,10.0,2.0,Fire,1.0,0.0,-0.22666666666666666
252,9.8,1.9600000000000002,Fire,0.6,0.2,0.2533333333333333
253,6.6,1.3199999999999998,Air,0.8,0.2,0.24000000000000007
254,7.6,1.52,Earth,1.0,0.6,1.2799999999999998
255,8.4,1.6800000000000002,Fire,0.4,0.6,1.2666666666666666
256,8.0,1.6,Fire,1.0,0.4,0.76
257,3.2,0.64,Earth,1.0,0.2,0.21333333333333337
258,9.8,1.9600000000000002,Water,1.0,0.2,0.2666666666666666
259,4.6,0.9199999999999999,Air,0.4,0.0,-0.29333333333333333
260,9.4,1.8800000000000001,Air,0.8,0.2,0.21333333333333332
261,5.8,1.16,Earth,0.6,0.0,-0.24
262,8.4,1.6800000000000002,Water,0.0,0.2,0.25333333333333335
263,7.8,1.56,Water,0.6,0.0,-0.22666666666666666
264,7.0,1.4,Air,0.8,0.2,0.25333333333333335
265,10.0,2.0,Water,0.8,0.2,0.2799999999999999
266,9.0,1.8,Fire,-1.0,0.2,0.24
267,6.4,1.28,Air,1.0,0.2,0.2666666666666667
268,6.4,1.28,Air,0.6,0.0,-0.29333333333333333
269,8.4,1.6800000000000002,Fire,0.4,0.0,-0.2533333333333333
270,10.0,2.0,Fire,1.0,0.0,-0.2533333333333333
271,6.4,1.28,Air,1.0,0.0,-0.24
272,9.8,1.9600000000000002,Fire,0.8,0.0,-0.26666666666666666
273,7.8,1.56,Fire,-0.6,0.2,0.2266666666666667
274,9.2,1.8399999999999999,Fire,1.0,0.2,0.2666666666666667
275,8.4,1.6800000000000002,Air,0.8,0.0,-0.26666666666666666
276,6.0,1.2,Water,0.8,0.4,0.7733333333333332
277,8.2,1.64,Earth,1.0,0.2,0.21333333333333343
278,8.4,1.6800000000000002,Fire,1.0,0.0,-0.2533333333333333
279,6.4,1.28,Fire,0.6,0.0,-0.27999999999999997
280,8.6,1.72,Fire,0.0,0.6,1.2533333333333332
281,8.6,1.72,Water,-0.6,0.2,0.2799999999999999
282,8.2,1.64,Fire,0.6,0.4,0.72
283,11.0,2.2,Fire,1.0,0.0,-0.29333333333333333
284,10.6,2.12,Earth,-0.4,0.2,0.2666666666666667
285,7.8,1.56,Water,1.0,0.0,-0.26666666666666666
286,11.4,2.2800000000000002,Fire,1.0,0.4,0.7333333333333334
287,8.4,1.6800000000000002,Earth,1.0,0.6,1.24
288,9.4,1.8800000000000001,Water,1.0,0.4,0.76
289,6.8,1.3599999999999999,Earth,0.2,0.2,0.27999999999999997
290,9.2,1.8399999999999999,Fire,0.4,0.4,0.7599999999999999
291,11.2,2.2399999999999998,Air,-0.4,0.4,0.7333333333333333
292,8.4,1.6800000000000002,Earth,1.0,0.2,0.24000000000000007
293,7.8,1.56,Earth,-0.2,0.4,0.7466666666666666
294,8.0,1.6,Water,0.8,0.4,0.7200000000000001
295,6.4,1.28,Earth,0.0,0.2,0.25333333333333335
296,12.6,2.52,Water,1.0,0.0,-0.27999999999999997
297,8.6,1.72,Fire,1.0,0.2,0.24000000000000005
298,6.0,1.2,Water,-0.6,0.4,0.76
299,8.6,1.72,Earth,0.2,0.6,1.2666666666666666
300,8.2,1.64,Air,0.6,0.6,1.2533333333333334
301,7.2,1.44,Earth,0.6,0.0,-0.21333333333333332
302,6.6,1.3199999999999998,Air,0.6,0.0,-0.29333333333333333
303,9.4,1.8800000000000001,Fire,0.6,0.0,-0.24
304,7.6,1.52,Water,0.8,0.2,0.24000000000000007
305,15.2,3.04,Fire,0.8,0.6,1.2799999999999998
306,6.0,1.2,Fire,0.2,0.2,0.28
307,11.8,2.3600000000000003,Water,0.6,0.2,0.2133333333333333
308,8.4,1.6800000000000002,Water,0.8,0.2,0.24
309,9.2,1.8399999999999999,Water,0.6,0.2,0.25333333333333335
310,9.0,1.8,Fire,0.4,0.4,0.7066666666666667
311,5.4,1.08,Air,1.0,0.4,0.72
312,8.2,1.64,Air,1.0,0.4,0.7600000000000001
313,7.6,1.52,Fire,1.0,0.0,-0.2533333333333333
314,12.8,2.56,Earth,1.0,0.4,0.76
315,9.0,1.8,Air,0.6,0.6,1.2266666666666668
316,7.4,1.48,Water,1.0,0.2,0.29333333333333333
317,12.4,2.48,Fire,1.0,0.2,0.2666666666666667
318,10.6,2.12,Air,-0.6,0.2,0.2666666666666667
319,10.0,2.0,Earth,0.6,0.0,-0.29333333333333333
320,13.2,2.6399999999999997,Air,0.6,0.4,0.7333333333333332
321,5.2,1.04,Fire,0.4,0.2,0.20000000000000004
322,9.6,1.92,Air,0.4,0.2,0.2666666666666666
323,8.8,1.7600000000000002,Air,0.6,0.2,0.2666666666666667
324,9.8,1.9600000000000002,Water,0.2,0.4,0.72
325,10.2,2.04,Water,0.2,0.0,-0.26666666666666666
326,6.2,1.24,Earth,0.8,0.6,1.2666666666666664
327,6.0,1.2,Air,1.0,0.6,1.2266666666666666
328,9.6,1.92,Water,0.6,0.4,0.76
329,7.2,1.44,Fire,0.2,0.0,-0.2533333333333333
330,9.4,1.8800000000000001,Fire,0.6,0.2,0.24000000000000005
331,8.0,1.6,Fire,0.8,0.0,-0.2533333333333333
332,6.6,1.3199999999999998,Air,0.8,0.4,0.72
333,7.2,1.44,Fire,1.0,0.2,0.2666666666666666
334,9.8,1.9600000000000002,Earth,1.0,0.0,-0.22666666666666666
335,7.0,1.4,Earth,0.6,0.0,-0.2533333333333333
336,11.6,2.32,Earth,0.6,0.4,0.7066666666666668
337,5.8,1.16,Air,0.6,0.2,0.26666666666666666
338,4.4,0.8800000000000001,Earth,-0.2,0.4,0.7466666666666667
339,7.8,1.56,Water,1.0,0.2,0.27999999999999997
340,5.2,1.04,Fire,0.2,0.0,-0.24
341,5.0,1.0,Earth,1.0,0.0,-0.27999999999999997
342,9.6,1.92,Water,1.0,0.2,0.2666666666666667
343,4.2,0.8400000000000001,Earth,-0.2,0.6,1.2666666666666666
344,10.6,2.12,Air,1.0,0.0,-0.26666666666666666
345,9.8,1.9600000000000002,Fire,0.6,0.2,0.2666666666666666
346,8.4,1.6800000000000002,Earth,0.6,0.4,0.76
347,9.8,1.9600000000000002,Fire,0.8,0.4,0.76
348,8.0,1.6,Fire,1.0,0.2,0.2666666666666666
349,8.8,1.7600000000000002,Fire,0.8,0.2,0.2666666666666667
350,8.4,1.6800000000000002,Water,0.0,0.4,0.7333333333333334
351,3.0,0.6,Air,0.2,0.0,-0.2533333333333333
352,14.0,2.8,Earth,0.2,0.2,0.2666666666666666
353,10.0,2.0,Fire,0.2,0.2,0.21333333333333337
354,7.0,1.4,Fire,0.6,0.0,-0.22666666666666666
355,6.8,1.3599999999999999,Fire,-0.4,0.6,1.2666666666666666
356,13.4,2.68,Earth,1.0,0.2,0.27999999999999997
357,6.4,1.28,Fire,0.4,0.4,0.7466666666666668
358,9.6,1.92,Air,1.0,0.2,0.2533333333333333
359,4.0,0.8,Air,0.4,0.2,0.24000000000000007
360,9.2,1.8399999999999999,Fire,1.0,0.2,0.2533333333333334
361,8.2,1.64,Earth,1.0,0.6,1.2799999999999998
362,6.0,1.2,Air,0.2,0.4,0.7333333333333333
363,9.6,1.92,Air,1.0,0.4,0.7066666666666667
364,6.2,1.24,Earth,1.0,0.0,-0.27999999999999997
365,4.8,0.96,Air,0.6,0.4,0.7333333333333334
366,4.0,0.8,Air,0.2,0.4,0.76
367,6.4,1.28,Water,0.6,0.2,0.28
368,2.2,0.44000000000000006,Air,0.6,0.2,0.2533333333333333
369,9.8,1.9600000000000002,Water,-0.4,0.0,-0.29333333333333333
370,8.6,1.72,Fire,0.4,0.6,1.2133333333333334
371,11.4,2.2800000000000002,Earth,-1.0,0.2,0.21333333333333337
372,8.2,1.64,Fire,0.8,0.4,0.76
373,3.4,0.6799999999999999,Air,-0.2,0.2,0.30666666666666664
374,5.4,1.08,Air,0.4,0.2,0.24
375,8.6,1.72,Fire,0.6,0.2,0.2933333333333333
376,12.6,2.52,Fire,0.8,0.2,0.2533333333333333
377,9.2,1.8399999999999999,Air,0.6,0.0,-0.2533333333333333
378,11.2,2.2399999999999998,Fire,1.0,0.4,0.76
379,6.0,1.2,Earth,0.6,0.2,0.22666666666666674
380,5.0,1.0,Water,0.6,0.4,0.76
381,6.4,1.28,Air,-0.2,0.4,0.72
382,6.2,1.24,Earth,0.2,0.4,0.72
383,7.8,1.56,Fire,0.6,0.0,-0.21333333333333332
384,5.8,1.16,Air,1.0,0.0,-0.22666666666666666
385,13.2,2.6399999999999997,Fire,0.6,0.0,-0.2533333333333333
386,6.4,1.28,Air,0.6,0.2,0.2533333333333333
387,10.8,2.16,Earth,1.0,0.4,0.7333333333333333
388,7.2,1.44,Air,-0.2,0.0,-0.24
389,5.8,1.16,Fire,0.8,0.0,-0.31999999999999995
390,8.2,1.64,Water,0.6,0.2,0.23999999999999994
391,7.2,1.44,Fire,1.0,0.0,-0.2533333333333333
392,6.0,1.2,Fire,1.0,0.2,0.2533333333333333
393,8.4,1.6800000000000002,Air,0.6,0.0,-0.27999999999999997
394,10.2,2.04,Earth,0.6,0.2,0.22666666666666666
395,6.0,1.2,Earth,0.2,0.4,0.72
396,7.6,1.52,Air,0.2,0.4,0.76
397,7.6,1.52,Water,0.6,0.2,0.2666666666666666
398,7.4,1.48,Water,-0.2,0.6,1.2666666666666666
399,6.6,1.3199999999999998,Water,0.6,0.2,0.21333333333333337
400,7.6,1.52,Air,-0.6,0.2,0.24
401,8.8,1.7600000000000002,Fire,-0.8,0.2,0.28
402,10.4,2.08,Fire,1.0,0.4,0.6933333333333335
403,9.6,1.92,Fire,-0.6,0.0,-0.27999999999999997
404,10.2,2.04,Fire,1.0,0.2,0.23999999999999994
405,9.2,1.8399999999999999,Fire,1.0,0.4,0.7466666666666667
406,9.8,1.9600000000000002,Fire,0.6,0.4,0.76
407,12.4,2.48,Water,0.8,0.0,-0.27999999999999997
408,7.0,1.4,Air,0.0,0.0,-0.21333333333333332
409,8.2,1.64,Fire,0.8,0.4,0.7466666666666667
410,9.4,1.8800000000000001,Fire,1.0,0.2,0.26666666666666666
411,7.6,1.52,Water,-0.4,0.4,0.7333333333333334
412,9.0,1.8,Fire,0.6,0.2,0.2666666666666666
413,10.6,2.12,Earth,0.2,0.0,-0.24
414,9.4,1.8800000000000001,Air,1.0,0.0,-0.26666666666666666
415,9.0,1.8,Earth,1.0,0.2,0.24000000000000005
416,7.8,1.56,Air,-0.2,0.2,0.29333333333333333
417,6.4,1.28,Earth,0.2,0.2,0.2666666666666666
418,6.6,1.3199999999999998,Earth,1.0,0.0,-0.2533333333333333
419,7.4,1.48,Air,0.6,0.0,-0.29333333333333333
420,11.0,2.2,Earth,0.6,0.2,0.21333333333333343
421,10.6,2.12,Water,1.0,0.2,0.27999999999999997
422,11.4,2.2800000000000002,Air,1.0,0.6,1.24
423,7.2,1.44,Water,0.6,0.4,0.7466666666666666
424,8.0,1.6,Fire,1.0,0.0,-0.24
425,8.4,1.6800000000000002,Air,0.6,0.2,0.23999999999999994
426,7.4,1.48,Fire,0.8,0.2,0.2933333333333333
427,8.4,1.6800000000000002,Earth,-0.2,0.2,0.2666666666666666
428,6.4,1.28,Earth,0.6,0.6,1.2266666666666668
429,5.0,1.0,Water,0.2,0.0,-0.2533333333333333
430,10.4,2.08,Air,1.0,0.2,0.21333333333333343
431,6.8,1.3599999999999999,Fire,1.0,0.2,0.2666666666666667
432,8.8,1.7600000000000002,Air,1.0,0.2,0.2533333333333334
433,9.4,1.8800000000000001,Earth,0.6,0.6,1.2133333333333334
434,7.2,1.44,Earth,-0.6,0.4,0.72
435,9.4,1.8800000000000001,Fire,0.8,0.0,-0.27999999999999997
436,6.0,1.2,Water,-0.2,0.0,-0.26666666666666666
437,7.0,1.4,Fire,-0.6,0.2,0.27999999999999997
438,10.8,2.16,Air,0.4,0.0,-0.24
439,8.2,1.64,Air,1.0,0.4,0.7866666666666667
440,8.2,1.64,Air,0.4,0.2,0.2533333333333333
441,6.8,1.3599999999999999,Air,0.8,0.0,-0.2
