Name,Numerology,Element,Astrology,Chakra,Upright,Reversed,Valence,Temporality (assigned by Claude),Confidence,Description
King of Cups,15,Water,Scorpio,Heart,"Steady compassion, Emotional authority, Balance","Volatility, Manipulative care, Repressed emotion",Upright,Present,3,"The card of emotional maturity, quiet strength, and devotion without control."
Ace of Wands,1,Fire,"Leo, Sagittarius, Aries",Sacral,"Creativity, Passion, New beginnings","Delays, Creative blocks, Lack of direction",Upright,Future,5,"The card of creative spark, passionate inspiration, and the raw energy that transforms possibility into the first steps of manifestation."
Two of Wands,2,Fire,Aries,Solar Plexus,"Planning, Future vision, First steps","Poor planning, Impatience, Scattered energy",Upright,Future,4,"The card of planning, vision, and the power to choose your direction with confidence and foresight."
Three of Wands,3,Fire,Aries,Solar Plexus,"Planning, Long-term vision, Expansion","Limited opportunities, Delays, No planning",Upright,Future,3,"The card of vision, expansion, and momentum grounded in preparation."
Four of Wands,4,Fire,Cancer,Heart,"Celebrations, Joyful Harmony, Community","Conflict, Instability, Lack of support",Upright,Past,4,"The card of rooted joy, shared milestones, and stability made visible."
Five of Wands,5,Fire,Leo,Solar Plexus,"Conflict, Healthy competition, Dynamic tension","Avoidance, Destruction, Internal struggle",Neutral,Present,4,"The card of creative conflict, healthy competition, and the dynamic tension that spurs growth and innovation."
Six of Wands,6,Fire,Leo,Solar Plexus,"Victory, Recognition, Achievement","Inner Triumph, Self-doubt, Modesty",Upright,Past,4,"The card of victory, achievement, public recognition, and celebration."
Seven of Wands,7,Fire,Leo,Solar Plexus,"Defence, Standing ground, Courage","Giving up, Defeat, Lack of self belief",Upright,Present,4,"The card of inner conviction, resilience under pressure, and defending your position with clarity."
Eight of Wands,8,Fire,Sagittarius,Throat,"Swift action, Rapid progress, Communication","Delays, Scattered progress, Blocked progress",Upright,Future,5,The card of acceleration and swift movement toward your goals.
Nine of Wands,9,Fire,Sagittarius,Solar Plexus,"Persistence, Resilience, Determination","Exhaustion, Giving up, Burnout",Upright,Future,3,"The card of resilience, persistence, final tests, and protective strength."
Ten of Wands,10,Fire,Sagittarius,Solar Plexus,"Heavy responsibility, Burdens, Final push","Release, Giving up, Delegation",Neutral,Present,4,"The card of burdened momentum, overloaded will, and the weight of accumulated responsibility."
Page of Wands,11,Fire,Sagittarius,Sacral,"Adventure, Excitement, Potential","Distraction, Delays, Laziness",Upright,Future,5,The card of limitless potential.
Knight of Wands,12,Fire,"Leo, Sagittarius, Aries",Solar Plexus,"Bold adventure, Fiery energy, Passionate action","Recklessness, Impatience, Aggression",Upright,Future,4,"The card of passionate action, bold adventures, dynamic energy, and fearless pursuit."
Queen of Wands,13,Fire,Leo,Solar Plexus,"Charisma, Confident leadership, Creative passion","Jealousy, Insecure leadership, Demanding",Upright,Present,3,"The card of bold magnetism, grounded passion, and instinctual confidence."
King of Wands,14,Fire,"Leo, Sagittarius, Aries",Solar Plexus,"Leadership, Vision, Confidence","Arrogrance, Impulsiveness, Lack of direction",Upright,Future,3,"The card of visionary leadership, entrepreneurial mastery, creative authority, and inspiring confidence."
Ace of Swords,0,Air,Libra,Throat,"Insight, Clarity, Breakthroughs","Confusion, Miscommunication, Contemplation",Upright,Future,5,"The card of new ideas, possibilities, and truth."
Two of Swords,2,Air,Libra,Third Eye,"Indecision, Mental stalemate, Difficult choice","Breakthrough, Clarity, A choice made",Reversed,Subconscious,4,"The card of difficult decisions, mental balance, inner conflict, and temporary stalemate."
Three of Swords,3,Air,Libra,Heart,"Heartbreak, Emotional pain, Betrayal","Recovery, Forgiveness, Release",Reversed,Past,5,"The card of heartbreak, painful truth, grief, and necessary endings."
Four of Swords,4,Air,Libra,Third Eye,"Mental rest, Contemplation, Recuperation","Mental restlessness, Burnout ignored, Overwhelm",Upright,Present,2,"The card of emotional authority, quiet stability, and care without collapse."
Five of Swords,5,Air,Aquarius,Throat,"Hollow victory, Conflict aftermath, Betrayal","Moving past conflict, Forgiveness, Reconciliation",Reversed,Present,2,"The card of inner courage, gentle power, and compassion over force."
Six of Swords,6,Air,Aquarius,Throat,"Transition, Healing, Moving forward","Resistance, Stagnation, Avoiding change",Upright,Future,5,"The card of transition, healing, moving forward, and seeking calmer waters."
Seven of Swords,7,Air,Aquarius,Throat,"Deception, Secrets, Avoidance","Exposure, Reckoning, Confession",Neutral,Subconscious,3,"The card of strategy, concealment, discernment, and self-protection."
Eight of Swords,8,Air,Gemini,Throat,"Mental prison, Trapped, Restrictions","Self-liberation, Empowerment, Breakthrough",Reversed,Subconscious,4,"The card of mental restriction, self-imposed limitations, feeling trapped, and the journey to liberation."
Nine of Swords,9,Air,Gemini,Third Eye,"Anxiety, Fear, Nightmares","Healing, Renewal, Hope",Reversed,Subconscious,4,The card of sleepless nights and worry.
Ten of Swords,10,Air,Gemini,Throat,"Betrayal, Endings, Renewal","Recovery, Resilience, Wisdom",Reversed,Past,5,"The card of painful endings, betrayal, rock bottom, and dawn after darkness."
Page of Swords,11,Air,Sagittarius,Throat,"Curious exploration, New learning, Mental agility","Confusion, Information overload, Scattered thinking",Upright,Future,4,"The card of curiosity, sharp awareness, and the first steps into mental clarity."
Knight of Swords,12,Air,Gemini,Throat,"Swift action, Intellectual pursuit, Bold communication","Reckless haste, Thoughtless action, Aggressive",Upright,Future,4,"The card of swift momentum, focused intellect, and unshakable determination."
Queen of Swords,13,Air,Libra,Throat,"Clarity, Independent judgment, Direct communication","Coldness, Bitter criticism, Harsh judgement",Upright,Present,3,"The card of discernment, honest speech, and clear perception"
King of Swords,14,Air,Aquarius,Throat,"Intellectual mastery, Communication, Strategy","Manipulation, Cruel intellectualism, Tyranny",Upright,Present,3,"The card of mental clarity, structured authority, and integrity in action."
Ace of Pentacles,1,Earth,Capricorn,Root,"Manifestation, Opportunities, Potential","Poor planning, Delays, No focus",Upright,Future,5,"The card of new beginnings, material opportunity, prosperity potential, and grounded manifestation."
Two of Pentacles,2,Earth,Capricorn,Sacral,"Balance, Adaptability, Flexibility","Disorganization, Overwhelm, Imbalance",Upright,Present,3,"The card of balance, adaptability, juggling priorities, and flexible resource management."
Three of Pentacles,3,Earth,Capricorn,Throat,"Collaboration, Teamwork, Skill-building","Poor communication, Misalignment, Ego",Upright,Present,3,"The card of collaboration, skill-building, teamwork, and recognition."
Four of Pentacles,4,Earth,Capricorn,Root,"Financial security, Protective boundaries, Conservation","Obsessive hoarding, Scarcity, Possessive control",Upright,Present,3,"The card of control, guardedness, and the need to feel safe in what’s yours."
Five of Pentacles,5,Earth,Taurus,Root,"Hardship, Scarcity, Rejection","Security, Recovery, Hope",Reversed,Past,3,"The card of lack, isolation, resilience, and inner strength."
Six of Pentacles,6,Earth,Taurus,Heart,"Generous sharing, Balanced exchange, Support","One-sided giving, Strings attached, Imbalance",Upright,Present,3,"The card of exchange, shared power, and generosity rooted in balance."
Seven of Pentacles,7,Earth,Taurus,Root,"Cultivation, Progress assessment, Investment","Impatience, Abandoning projects, Poor planning",Upright,Future,4,"The card of patience, long-term effort, and trusting the process of slow growth."
Eight of Pentacles,8,Earth,Virgo,Sacral,"Craftsmanship, Skill, Dedication","Lack of focus, Mediocrity, Uninspired",Upright,Past,4,"The card of mastery, patience, and purposeful creation."
Nine of Pentacles,9,Earth,Virgo,Solar Plexus,"Luxury, Self-sufficiency, Material abundance","Financial insecurity, Dependence, Materialism",Upright,Past,4,"The card of earned independence, inner refinement, and self-defined wealth."
Ten of Pentacles,10,Earth,Virgo,Root,"Legacy, Generational wealth, Family abundance","Family dysfunction, Financial instability, Disputes",Upright,Past,4,"The card of lasting wealth, lineage, and rooted belonging."
Page of Pentacles,11,Earth,"Virgo, Taurus, Capricorn",Root,"Grounded focus, New skills, Practical goals","Scattered effort, Procrastination, Impractical ideas",Upright,Future,5,"The card of devotion, grounded focus, and the first step toward lasting growth."
Knight of Pentacles,3,Earth,Virgo,Root,"Reliability, Dedication, Routine","Stagnation, Feeling Stuck, Laziness",Upright,Future,3,The card of dedication and slow and steady hard work.
Queen of Pentacles,13,Earth,Capricorn,Heart,"Nurturing, Financial security, Grounded abundance","Neglect, Financial dependence, Resource depletiony",Upright,Present,3,"The card of practical abundance, nurturing prosperity, and earthy wisdom."
King of Pentacles,14,Earth,Taurus,Root,"Financial stability, Business success, Leadership","Greed, Manipulative leadership, Obsession with status",Upright,Present,2,"The card of mastery, grounded leadership, and steady abundance."
